date,close,volume,open,high,low
14-07-2015,45.62,22865770,45.45,45.96,45.31
13-07-2015,45.54,27875670,44.975,45.62,44.9501
10-07-2015,44.61,25365530,45.01,45.14,44.57
09-07-2015,44.52,32404100,44.75,45.22,44.5
08-07-2015,44.24,39761460,44.44,44.9,44.03
07-07-2015,44.3,36420230,44.34,44.49,43.32
06-07-2015,44.39,23025750,43.96,44.48,43.95
02-07-2015,44.4,21743250,44.48,44.75,44.06
01-07-2015,44.445,28339610,44.46,45.23,44.1
30-06-2015,44.15,35943040,44.71,44.72,43.94
29-06-2015,44.37,34004400,45.04,45.23,44.36
26-06-2015,45.26,49757070,45.65,46.28,45.03
25-06-2015,45.65,20599990,46.03,46.06,45.5
24-06-2015,45.635,34849400,45.67,46.245,45.55
23-06-2015,45.91,25881850,46.13,46.28,45.62
22-06-2015,46.23,20300480,46.33,46.72,46.16
19-06-2015,46.1,63733110,46.79,46.825,45.99
18-06-2015,46.72,32586480,46.22,46.8,46.17
17-06-2015,45.97,28683290,45.73,46.07,45.36
16-06-2015,45.83,26895950,45.35,46.24,45.3
15-06-2015,45.475,33227000,45.45,45.65,45.0201
12-06-2015,45.97,23916080,46.22,46.47,45.9
11-06-2015,46.44,27290100,46.66,46.92,46.13
10-06-2015,46.61,28416030,45.79,46.83,45.69
09-06-2015,45.65,24395800,45.76,45.94,45.46
08-06-2015,45.73,22108100,46.3,46.43,45.67
05-06-2015,46.14,25434870,46.31,46.52,45.84
04-06-2015,46.36,27474500,46.79,47.16,46.2
03-06-2015,46.85,28000370,47.37,47.735,46.82
02-06-2015,46.92,21484660,46.93,47.35,46.62
01-06-2015,47.23,28610080,47.06,47.77,46.62
29-05-2015,46.86,36497290,47.43,47.57,46.59
28-05-2015,47.45,19282810,47.5,48.02,47.39
27-05-2015,47.61,27333730,46.82,47.77,46.62
26-05-2015,46.59,29556430,46.83,46.88,46.19
22-05-2015,46.9,25700240,47.3,47.35,46.82
21-05-2015,47.42,22399100,47.28,47.6,47.005
20-05-2015,47.58,25035330,47.39,47.93,47.27
19-05-2015,47.58,28181300,47.56,47.81,47.18
18-05-2015,48.01,23918020,47.98,48.22,47.61
15-05-2015,48.295,28628370,48.87,48.905,48.05
14-05-2015,48.72,32956260,48.03,48.82,48.03
13-05-2015,47.625,34182750,48.19,48.32,47.57
12-05-2015,47.35,29927160,46.85,47.68,46.42
11-05-2015,47.37,24608910,47.55,47.91,47.37
08-05-2015,47.75,35060430,47.55,47.98,47.52
07-05-2015,46.7,32940820,46.27,47.085,46.16
06-05-2015,46.28,52416760,47.57,47.77,46.02
05-05-2015,47.6,50364250,47.82,48.16,47.31
04-05-2015,48.24,33986240,48.37,48.87,48.18
01-05-2015,48.655,36432670,48.58,48.875,48.4
30-04-2015,48.64,64127280,48.7,49.54,48.6
29-04-2015,49.06,47665440,48.72,49.31,48.5
28-04-2015,49.155,59860670,47.78,49.21,47.7
27-04-2015,48.03,58950840,47.23,48.13,47.22
24-04-2015,47.87,130885200,45.66,48.14,45.65
23-04-2015,43.34,45445510,42.89,43.61,42.8
22-04-2015,42.985,25032050,42.67,43.13,42.55
21-04-2015,42.635,26004920,43,43.15,42.53
20-04-2015,42.905,46051240,41.73,43.17,41.68
17-04-2015,41.615,41912450,41.67,41.74,41.16
16-04-2015,42.16,22425300,41.95,42.34,41.82
15-04-2015,42.255,27307270,41.76,42.46,41.68
14-04-2015,41.65,24238760,41.8,42.03,41.39
13-04-2015,41.76,30270750,41.4,42.06,41.39
10-04-2015,41.72,27856770,41.63,41.95,41.41
09-04-2015,41.48,25722630,41.25,41.62,41.25
08-04-2015,41.42,24699710,41.46,41.69,41.04
07-04-2015,41.53,28808840,41.61,41.91,41.31
06-04-2015,41.545,39161760,40.34,41.78,40.18
02-04-2015,40.29,37483000,40.66,40.74,40.12
01-04-2015,40.72,36841010,40.6,40.76,40.31
31-03-2015,40.655,34884740,40.78,41.03,40.54
30-03-2015,40.96,34999850,41.1,41.54,40.91
27-03-2015,40.97,33980410,41.12,41.43,40.83
26-03-2015,41.21,37483900,41.22,41.61,40.92
25-03-2015,41.46,43427180,42.92,42.925,41.44
24-03-2015,42.9,25453110,42.78,43.17,42.75
23-03-2015,42.855,26233420,42.88,43.13,42.78
20-03-2015,42.88,71754700,42.56,42.98,42.49
19-03-2015,42.285,33836100,42.26,42.59,42.22
18-03-2015,42.5,44178520,41.43,42.83,41.33
17-03-2015,41.695,31669340,41.37,41.83,41.15
16-03-2015,41.56,35257510,41.47,41.64,41.28
13-03-2015,41.38,57972120,40.7,41.47,40.61
12-03-2015,41.02,59984700,41.33,41.65,40.86
11-03-2015,41.98,32214780,42.31,42.37,41.84
10-03-2015,42.03,39158290,42.35,42.71,42.03
09-03-2015,42.85,32106530,42.19,43.125,42.19
06-03-2015,42.36,36120570,43,43.11,42.15
05-03-2015,43.11,23176110,43.07,43.24,42.82
04-03-2015,43.055,25746840,43.01,43.21,42.88
03-03-2015,43.28,31685600,43.56,43.825,43.09
02-03-2015,43.88,31766030,43.67,44.19,43.55
27-02-2015,43.85,33784370,44.13,44.2,43.66
26-02-2015,44.055,26524300,43.99,44.23,43.89
25-02-2015,43.99,29749090,43.95,44.09,43.8
24-02-2015,44.09,25262080,44.15,44.3,43.92
23-02-2015,44.15,32510550,43.7,44.19,43.65
20-02-2015,43.855,29710140,43.51,43.88,43.29
19-02-2015,43.5,27598050,43.18,43.5263,43.05
18-02-2015,43.53,27105640,43.63,43.7,43.39
17-02-2015,43.58,33692870,43.97,44,43.19
13-02-2015,43.87,40112080,43.38,43.87,43.15
12-02-2015,43.09,33238000,42.66,43.09,42.51
11-02-2015,42.38,38248500,42.65,42.65,42.21
10-02-2015,42.6,29655280,42.74,42.77,42.18
09-02-2015,42.36,27416280,42.24,42.74,42.21
06-02-2015,42.41,34612420,42.68,42.79,42.15
05-02-2015,42.45,36543020,42.22,42.64,41.855
04-02-2015,41.84,41585310,41.94,42.21,41.36
03-02-2015,41.6,52068450,41.63,41.93,41.045
02-02-2015,41.28,50274250,40.59,41.37,40.23
30-01-2015,40.4,77983360,41.55,41.58,40.35
29-01-2015,42.01,63551980,40.93,42.12,40.79
28-01-2015,41.19,84453280,42.74,42.79,41.16
27-01-2015,42.66,169115000,42.95,43.2,42.105
26-01-2015,47.01,40995700,47,47.1339,46.2399
23-01-2015,47.18,26136690,47.36,47.39,46.8
22-01-2015,47.13,35842790,46.38,47.135,46.08
21-01-2015,45.92,37113740,45.94,46.14,45.48
20-01-2015,46.39,36121800,46.3,46.65,45.57
16-01-2015,46.24,35683380,45.31,46.28,45.17
15-01-2015,45.48,32744260,46.22,46.38,45.41
14-01-2015,45.955,29713190,45.96,46.24,45.62
13-01-2015,46.355,35258300,46.97,47.91,46.06
12-01-2015,46.6,23623970,47.42,47.54,46.36
09-01-2015,47.19,23942750,47.61,47.82,46.9
08-01-2015,47.59,29634030,46.75,47.7499,46.72
07-01-2015,46.23,29103920,45.98,46.46,45.49
06-01-2015,45.65,36434980,46.38,46.749,45.54
05-01-2015,46.325,39667400,46.37,46.73,46.25
02-01-2015,46.76,27843560,46.66,47.42,46.54
31-12-2014,46.45,21551090,46.73,47.44,46.45
30-12-2014,47.02,16380820,47.44,47.62,46.84
29-12-2014,47.45,14417170,47.7,47.78,47.26
26-12-2014,47.88,13197120,48.41,48.41,47.82
24-12-2014,48.14,11442790,48.64,48.64,48.08
23-12-2014,48.45,23654190,48.37,48.8,48.13
22-12-2014,47.98,26561880,47.78,48.12,47.71
19-12-2014,47.66,64504160,47.63,48.1,47.17
18-12-2014,47.52,40031480,46.58,47.52,46.3386
17-12-2014,45.74,34967260,45.05,45.945,44.9
16-12-2014,45.16,47764300,45.9,46.34,45.13
15-12-2014,46.67,29213490,47.2,47.67,46.55
12-12-2014,46.95,34247280,46.78,47.73,46.67
11-12-2014,47.17,29060360,47.08,47.74,46.68
10-12-2014,46.9,30284690,47.58,47.66,46.7001
09-12-2014,47.59,24326090,47.11,47.92,47.05
